Population,a0,a1,b0,b1,c0,c1,d0,d1,e0,e1,f0,f1,g0,g1,h0,h1,i0,i1,j0,j1,k0,k1,l0,l1
SJ14,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ15,72,72,81,85,100,100,0,0,116,116,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ16,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ17,72,72,81,81,100,100,110,114,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,256
SJ18,72,72,81,81,100,100,110,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,250
SJ20,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ21,72,72,81,85,100,100,0,0,116,116,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ22,72,72,85,85,100,100,0,0,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,250
SJ23,72,72,85,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,250
SJ24,72,72,85,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,250
SJ26,72,72,85,91,100,100,0,0,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,250
SJ27,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ30,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ31,72,72,81,81,100,100,0,0,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,256
SJ32,72,72,85,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,250
SJ35,72,72,85,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,250
SJ36,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ37,72,72,85,91,100,100,0,0,0,0,120,120,122,122,141,141,187,187,174,174,232,232,250,256
SJ39,72,72,81,85,100,100,0,0,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ40,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
Pop,,,,,,,,,,,,,,,,,,,,,,,,
